id,player1_id,player2_id,winner_player_id,played_at,created_at,comment,player1_race,player2_race,is_ranked,game_type,mission_name,result_type,player1_roster_id,player2_roster_id,league_id
669,188,190,188,2026-03-27 07:04:10.051946,2026-03-27 11:04:11.204814,First game for stats,Терран,Терран,f,2к,Divide and Conquer,win,,,1
676,191,192,191,2026-03-28 10:27:55.96365,2026-03-28 14:27:57.27837,25 to 13,Терран,Зерг,f,2к,Supply Drop,win,,,1
678,193,188,193,2026-03-28 14:00:51.606598,2026-03-28 18:00:52.876037,"Awesome game!
But 4 hours is a lot:)",Протосс,Терран,f,2к,Frontlines,win,,,1
679,194,195,194,2026-03-28 14:46:09.251082,2026-03-28 18:46:10.916241,,Терран,Терран,f,2к,Gather the Resources,win,,,1
680,196,197,196,2026-03-28 17:07:09.159125,2026-03-28 21:07:11.143106,12-1 on Round 4/5,Зерг,Протосс,f,2к,Supply Drop,win,,,1
683,196,198,196,2026-03-28 20:37:00,2026-03-29 00:37:45.340739,19 to 11 on 5/5,Зерг,Протосс,f,2к,Gather the Resources,win,,,1
685,188,199,188,2026-03-28 21:18:26.932868,2026-03-29 01:18:28.025325,,Терран,Терран,f,2к,Hold Position,win,,,1
694,210,188,210,2026-03-28 23:29:17.872306,2026-03-29 03:29:19.688913,,Зерг,Терран,f,1к,Gather the Resources,win,,,1
695,198,211,198,2026-03-28 23:43:00,2026-03-29 03:43:31.325504,Unranked learning match between protoss and marines. 18-9,Протосс,Терран,f,2к,Supply Drop,win,,,1
696,212,190,212,2026-03-29 01:55:53.811167,2026-03-29 05:55:55.067254,,Зерг,Терран,f,2к,Hold Position,win,,,1
697,195,213,195,2026-03-29 03:02:00.814305,2026-03-29 07:02:02.206957,,Терран,Протосс,t,2к,Hold Position,win,,,1
698,196,194,196,2026-03-29 12:50:48.318988,2026-03-29 16:50:49.270517,,Зерг,Терран,f,2к,Supply Drop,win,,,1
699,198,214,198,2026-03-29 12:58:14.885332,2026-03-29 16:58:17.431726,20-10,Протосс,Протосс,f,2к,Frontlines,win,,,1
700,215,216,215,2026-03-29 13:51:03.125961,2026-03-29 17:51:06.265231,stalkers real good in 1k,Протосс,Зерг,f,1к,Hold Position,win,,,1
701,217,218,217,2026-03-29 15:38:55.955699,2026-03-29 19:38:57.50957,,Терран,Протосс,f,1к,Hold Position,win,,,1
702,188,196,188,2026-03-29 18:38:35.64475,2026-03-29 22:38:36.835522,"19-16, tought one",Терран,Зерг,f,2к,Hold Position,win,,,1
703,196,219,196,2026-03-30 15:42:47.846002,2026-03-30 19:42:49.501369,18-13 on 4/4,Зерг,Терран,f,2к,Divide and Conquer,win,,,1
704,188,220,188,2026-03-30 17:04:56.951281,2026-03-30 21:04:58.496171,Mech terran against Bio,Терран,Терран,f,2к,Hold Position,win,,,1
706,196,221,196,2026-03-30 19:14:13.562587,2026-03-30 23:14:14.708074,"[[match_meta:{""player1_score"":17,""player2_score"":7}]]",Зерг,Зерг,f,2к,Divide and Conquer,win,,,1
716,223,224,223,2026-03-31 08:19:16.820448,2026-03-31 12:19:18.456047,"[[match_meta:{""player1_score"":15,""player2_score"":10}]]",Терран,Протосс,f,2к,Frontlines,win,,,1
717,216,215,216,2026-03-31 13:21:55.50118,2026-03-31 17:21:56.393659,"[[match_meta:{""player1_score"":9,""player2_score"":5}]]",Терран,Зерг,f,1к,Supply Drop,win,,,1
718,216,225,216,2026-03-31 15:55:37.964229,2026-03-31 19:55:39.916492,"[[match_meta:{""player1_score"":9,""player2_score"":4}]]",Зерг,Терран,f,1к,Frontlines,win,,,1
719,188,226,188,2026-03-31 15:56:26.084998,2026-03-31 19:56:26.937068,"[[match_meta:{""player1_score"":7,""player2_score"":5}]]",Терран,Протосс,f,1к,Gather the Resources,win,,,1
720,193,227,193,2026-03-31 16:41:15.790474,2026-03-31 20:41:17.648959,"[[match_meta:{""player1_score"":14,""player2_score"":8}]] Again more then 3 hours(((",Протосс,Зерг,f,2к,Gather the Resources,win,,,1
721,228,190,228,2026-04-01 02:45:43.237909,2026-04-01 06:45:45.794845,"[[match_meta:{""player1_score"":19,""player2_score"":14}]]",Протосс,Терран,f,2к,Frontlines,win,,,1
722,225,188,225,2026-04-01 04:00:11.018919,2026-04-01 08:00:12.230973,"[[match_meta:{""player1_score"":17,""player2_score"":15}]]",Терран,Терран,f,1к,Frontlines,win,,,1
723,195,188,195,2026-04-01 08:57:29.450737,2026-04-01 12:57:30.425682,"[[match_meta:{""player1_score"":29,""player2_score"":23}]]",Терран,Терран,t,2к,Hold Position,win,,,1
724,223,226,223,2026-04-01 14:11:26.610369,2026-04-01 18:11:27.943038,"[[match_meta:{""player1_score"":20,""player2_score"":16}]]",Терран,Протосс,f,2к,Gather the Resources,win,,,1
725,229,230,229,2026-04-01 14:49:32.559444,2026-04-01 18:49:34.015327,"[[match_meta:{""player1_score"":16,""player2_score"":4}]]",Протосс,Зерг,t,2к,Frontline,win,,,1
726,231,232,231,2026-04-01 17:47:57.761751,2026-04-01 21:47:59.65263,"[[match_meta:{""player1_score"":10,""player2_score"":9}]]",Терран,Зерг,f,1к,Divide and Conquer,win,,,1
727,232,233,232,2026-04-01 17:52:18.48989,2026-04-01 21:52:20.553502,"[[match_meta:{""player1_score"":7,""player2_score"":5}]]",Протосс,Протосс,f,1к,Gather the Resources,win,,,1
728,196,234,196,2026-04-01 18:25:00,2026-04-01 22:25:09.324723,"[[match_meta:{""player1_score"":12,""player2_score"":2}]]",Зерг,Зерг,f,2к,Frontlines,win,,,1
729,196,235,196,2026-04-01 22:11:00,2026-04-02 02:11:55.198231,"[[match_meta:{""player1_score"":23,""player2_score"":14}]]",Зерг,Зерг,f,2к,Hold Position,win,,,1
735,238,239,238,2026-04-02 08:21:42.070479,2026-04-02 12:21:44.19845,"[[match_meta:{""player1_score"":10,""player2_score"":7}]] Forfeit in round 5 due to impossibility to catch-up in VP during round 5 scoring.",Протосс,Зерг,t,1к,Frontlines,win,,,1
736,196,214,196,2026-04-02 12:36:00,2026-04-02 16:36:05.842383,"[[match_meta:{""player1_score"":14,""player2_score"":3}]]",Зерг,Протосс,f,2к,Supply Drop,win,,,1
737,223,219,223,2026-04-02 14:49:10.488498,2026-04-02 18:49:12.36586,"[[match_meta:{""player1_score"":24,""player2_score"":12}]]",Терран,Терран,f,2к,Divide and Conquer,win,,,1
738,196,214,196,2026-04-02 15:54:09.543745,2026-04-02 19:54:10.63779,"[[match_meta:{""player1_score"":18,""player2_score"":15}]]",Зерг,Протосс,f,2к,Divide and Conquer,win,,,1
739,196,228,,2026-04-02 20:37:38.00938,2026-04-03 00:37:39.520741,"[[match_meta:{""player1_score"":15,""player2_score"":15}]]",Зерг,Протосс,f,2к,Frontlines,draw,,,1
740,188,237,188,2026-04-03 00:45:59.68497,2026-04-03 04:46:00.647682,"[[match_meta:{""player1_score"":9,""player2_score"":5}]]",Терран,Протосс,f,2к,Gather the Resources,win,,,1
