id,match_id,player_id,old_elo,new_elo,elo_delta,expected_score,actual_score,k_factor,created_at
8215,697,195,1000,1016,16,0.5000,1.0,32,2026-05-03 22:29:40.826981
8216,697,213,1000,984,-16,0.5000,0.0,32,2026-05-03 22:29:40.826981
8217,723,195,1016,1031,15,0.5230,1.0,32,2026-05-03 22:29:40.826981
8218,723,188,1000,985,-15,0.4770,0.0,32,2026-05-03 22:29:40.826981
8219,725,229,1000,1016,16,0.5000,1.0,32,2026-05-03 22:29:40.826981
8220,725,230,1000,984,-16,0.5000,0.0,32,2026-05-03 22:29:40.826981
8221,735,238,1000,1006,6,0.5000,1.0,32,2026-05-03 22:29:40.826981
8222,735,239,1000,994,-6,0.5000,0.0,32,2026-05-03 22:29:40.826981
8223,746,242,1000,1017,17,0.4555,1.0,32,2026-05-03 22:29:40.826981
8224,746,195,1031,1014,-17,0.5445,0.0,32,2026-05-03 22:29:40.826981
8225,752,246,1000,1016,16,0.5000,1.0,32,2026-05-03 22:29:40.826981
8226,752,228,1000,984,-16,0.5000,0.0,32,2026-05-03 22:29:40.826981
8227,755,246,1016,1031,15,0.5230,1.0,32,2026-05-03 22:29:40.826981
8228,755,240,1000,985,-15,0.4770,0.0,32,2026-05-03 22:29:40.826981
8229,756,249,1000,1016,16,0.5000,1.0,32,2026-05-03 22:29:40.826981
8230,756,198,1000,984,-16,0.5000,0.0,32,2026-05-03 22:29:40.826981
8231,757,246,1031,1046,15,0.5445,1.0,32,2026-05-03 22:29:40.826981
8232,757,193,1000,985,-15,0.4555,0.0,32,2026-05-03 22:29:40.826981
8233,760,246,1046,1061,15,0.5431,1.0,32,2026-05-03 22:29:40.826981
8234,760,249,1016,1001,-15,0.4569,0.0,32,2026-05-03 22:29:40.826981
8235,761,195,1014,1029,15,0.5201,1.0,32,2026-05-03 22:29:40.826981
8236,761,251,1000,985,-15,0.4799,0.0,32,2026-05-03 22:29:40.826981
8237,763,252,1000,1016,16,0.4986,1.0,32,2026-05-03 22:29:40.826981
8238,763,249,1001,985,-16,0.5014,0.0,32,2026-05-03 22:29:40.826981
8239,764,246,1061,1074,13,0.6077,1.0,32,2026-05-03 22:29:40.826981
8240,764,188,985,972,-13,0.3923,0.0,32,2026-05-03 22:29:40.826981
8241,765,249,985,1001,16,0.5014,1.0,32,2026-05-03 22:29:40.826981
8242,765,228,984,968,-16,0.4986,0.0,32,2026-05-03 22:29:40.826981
8243,770,193,985,991,6,0.5000,1.0,32,2026-05-03 22:29:40.826981
8244,770,240,985,979,-6,0.5000,0.0,32,2026-05-03 22:29:40.826981
8245,773,246,1074,1087,13,0.6035,1.0,32,2026-05-03 22:29:40.826981
8246,773,249,1001,988,-13,0.3965,0.0,32,2026-05-03 22:29:40.826981
8247,775,228,968,984,16,0.4942,1.0,32,2026-05-03 22:29:40.826981
8248,775,188,972,956,-16,0.5058,0.0,32,2026-05-03 22:29:40.826981
8249,779,252,1016,1031,15,0.5230,1.0,32,2026-05-03 22:29:40.826981
8250,779,257,1000,985,-15,0.4770,0.0,32,2026-05-03 22:29:40.826981
8251,780,246,1087,1098,11,0.6440,1.0,32,2026-05-03 22:29:40.826981
8252,780,228,984,973,-11,0.3560,0.0,32,2026-05-03 22:29:40.826981
8253,781,249,988,1005,17,0.4827,1.0,32,2026-05-03 22:29:40.826981
8254,781,258,1000,983,-17,0.5173,0.0,32,2026-05-03 22:29:40.826981
8255,782,251,985,986,1,0.4784,0.5,32,2026-05-03 22:29:40.826981
8256,782,254,1000,999,-1,0.5216,0.5,32,2026-05-03 22:29:40.826981
8257,783,188,956,975,19,0.4131,1.0,32,2026-05-03 22:29:40.826981
8258,783,242,1017,998,-19,0.5869,0.0,32,2026-05-03 22:29:40.826981
8259,785,195,1029,1044,15,0.5416,1.0,32,2026-05-03 22:29:40.826981
8260,785,226,1000,985,-15,0.4584,0.0,32,2026-05-03 22:29:40.826981
8261,786,193,991,1008,17,0.4799,1.0,32,2026-05-03 22:29:40.826981
8262,786,249,1005,988,-17,0.5201,0.0,32,2026-05-03 22:29:40.826981
8263,787,246,1098,1109,11,0.6597,1.0,32,2026-05-03 22:29:40.826981
8264,787,258,983,972,-11,0.3403,0.0,32,2026-05-03 22:29:40.826981
8265,789,195,1044,1057,13,0.6022,1.0,32,2026-05-03 22:29:40.826981
8266,789,258,972,959,-13,0.3978,0.0,32,2026-05-03 22:29:40.826981
8267,790,195,1057,1070,13,0.6022,1.0,32,2026-05-03 22:29:40.826981
8268,790,226,985,972,-13,0.3978,0.0,32,2026-05-03 22:29:40.826981
8269,791,246,1109,1118,9,0.7034,1.0,32,2026-05-03 22:29:40.826981
8270,791,258,959,950,-9,0.2966,0.0,32,2026-05-03 22:29:40.826981
8271,792,246,1118,1129,11,0.6636,1.0,32,2026-05-03 22:29:40.826981
8272,792,211,1000,989,-11,0.3364,0.0,32,2026-05-03 22:29:40.826981
8273,795,195,1070,1083,13,0.5994,1.0,32,2026-05-03 22:29:40.826981
8274,795,261,1000,987,-13,0.4006,0.0,32,2026-05-03 22:29:40.826981
8275,797,188,975,992,17,0.4669,1.0,32,2026-05-03 22:29:40.826981
8276,797,242,998,981,-17,0.5331,0.0,32,2026-05-03 22:29:40.826981
8277,798,249,988,1004,16,0.5058,1.0,32,2026-05-03 22:29:40.826981
8278,798,198,984,968,-16,0.4942,0.0,32,2026-05-03 22:29:40.826981
